from,to,weight
A,E,3
B,E,2
C,E,2
D,E,2
B,A,2
B,C,1
C,A,1
C,B,1
D,A,2
E,A,3
E,B,2
E,C,2
E,D,2
A,B,2
A,C,1
A,D,2
F,A,3
F,B,1
F,C,1
F,E,3
F,G,3
F,H,3
F,I,3
G,A,3
G,B,1
G,C,1
G,E,3
G,F,3
G,H,3
G,I,3
H,A,3
H,B,1
H,C,1
H,E,3
H,F,3
H,G,3
H,I,3
I,A,3
I,B,1
I,C,1
I,E,3
I,F,3
I,G,3
I,H,3
E,F,3
E,G,3
E,H,3
E,I,3
A,F,3
A,G,3
A,H,3
A,I,3
B,F,1
B,G,1
B,H,1
B,I,1
C,F,1
C,G,1
C,H,1
C,I,1
