from,to,weight
A,E,3
B,E,2
C,E,2
D,E,2
B,A,2
B,C,1
C,A,1
C,B,1
D,A,2
E,A,3
E,B,2
E,C,2
E,D,2
A,B,2
A,C,1
A,D,2
